isogroup426588	KOG4221
isogroup61303	KOG0070
isogroup201026	KOG1130
isogroup60459	KOG4710
isogroup160231	KOG2392
isogroup38715	KOG1142
isogroup39702	KOG1208
isogroup7524	KOG0116
isogroup7524	KOG0148
isogroup7063	KOG0048
isogroup204033	KOG4129
isogroup67759	KOG3861
isogroup291538	KOG3643
isogroup243045	KOG3609
isogroup4221	KOG2366
isogroup98918	KOG0027
isogroup639529	KOG3513
isogroup5156	KOG1094
isogroup72851	KOG2814
isogroup70105	KOG3503
isogroup66980	KOG1644
isogroup385458	KOG2524
isogroup106803	KOG0024
isogroup130688	KOG1543
isogroup307490	KOG4220
isogroup114256	KOG2855
isogroup284247	KOG0437
isogroup80139	KOG0052
isogroup311386	KOG4389
isogroup29295	KOG2551
isogroup130692	KOG3729
isogroup10647	KOG0055
isogroup54510	KOG1214
isogroup428744	KOG1219
isogroup16044	KOG0676
isogroup6912	KOG1080
isogroup6912	KOG1084
isogroup358135	KOG4171
isogroup48561	KOG0003
isogroup280169	KOG1375
isogroup54949	KOG0534
isogroup4460	KOG2084
isogroup4460	KOG1840
isogroup13420	KOG1205
isogroup86658	KOG1095
isogroup121911	KOG0054
isogroup50923	KOG1122
isogroup48409	KOG2186
isogroup371731	KOG1683
isogroup11764	KOG1809
isogroup191311	KOG4289
isogroup136895	KOG4322
isogroup24689	KOG3614
isogroup28629	KOG3516
isogroup64532	KOG0672
isogroup64532	KOG4017
isogroup72285	KOG3516
isogroup145642	KOG4697
isogroup251989	KOG0505
isogroup432448	KOG1056
isogroup27327	KOG3355
isogroup25914	KOG1818
isogroup35922	KOG2426
isogroup136967	KOG3689
isogroup129992	KOG4029
isogroup80419	KOG3898
isogroup116295	KOG1543
isogroup28062	KOG0258
isogroup11604	KOG0197
isogroup403989	KOG1158
isogroup77765	KOG0161
isogroup259048	KOG3641
isogroup23386	KOG1214
isogroup23386	KOG1219
isogroup18786	KOG2210
isogroup184347	KOG1105
isogroup10925	KOG0071
isogroup13672	KOG3887
isogroup195393	KOG3997
isogroup112830	KOG2392
isogroup40616	KOG1826
isogroup118460	KOG3657
isogroup4023	KOG0011
isogroup709506	KOG4441
isogroup12547	KOG0285
isogroup442	KOG1340
